datetime,residuals
2020-01-01,0.09419096423664586
2020-04-01,0.37151957966216065
2020-07-01,0.007628931808516315
2020-10-01,-0.03808910601357551
2021-01-01,-0.08066212931943428
2021-04-01,-0.10512844835230961
2021-07-01,-0.10613229775360944
2021-10-01,-0.1263867000341401
2022-01-01,-0.0745290605456459
2022-04-01,0.06107785314182035
2022-07-01,0.20530862385496285
2022-10-01,0.18087777096781288
2023-01-01,0.2296601462744574
2023-04-01,0.2524704834217082
2023-07-01,0.29071256499470444
2023-10-01,0.35092000242494414
2024-01-01,0.36277360252559676
2024-04-01,0.24363337386825146
