quarter_period,NHCCI,NHCCI-Seasonally-Adjusted,grp9-pct-change-Grading-Excavation,grp9-pct-change-Bridge,grp9-pct-change-Asphalt,grp9-pct-change-Concrete,grp9-pct-change-Base-Stone,grp9-pct-change-Drainage,grp9-pct-change-Traffic-Control,grp9-pct-change-Electrical,grp9-pct-change-Utilities-erosion-control-clearing-painting-and-equipment,grp13-pct-change-Grading-Excavation,grp13-pct-change-Bridge,grp13-pct-change-Asphalt,grp13-pct-change-Concrete,grp13-pct-change-Base-Stone,grp13-pct-change-Drainage,grp13-pct-change-Traffic-Control,grp13-pct-change-Erosion-Control,grp13-pct-change-Clearing,grp13-pct-change-Electrical,grp13-pct-change-Structures,grp13-pct-change-Utility,grp13-pct-change-Equipment,grp25-pct-change-Grading-Excavation,grp25-pct-change-Bridge,grp25-pct-change-Asphalt,grp25-pct-change-Concrete_Pavement,grp25-pct-change-Concrete-Misc,grp25-pct-change-Concrete-Culvers,grp25-pct-change-Base-Stone,grp25-pct-change-Drainage-Pipe,grp25-pct-change-Drainage-Inlets-Catch-Basins,grp25-pct-change-Underdrain,grp25-pct-change-Traffic-Control,grp25-pct-change-Guard-Rail,grp25-pct-change-Fencing,grp25-pct-change-Signs-Permanent,grp25-pct-change-Striping-Pavement-Marking,grp25-pct-change-Clearing,grp25-pct-change-Equipment-Labor,grp25-pct-change-Grassing,grp25-pct-change-Erosion-Control,grp25-pct-change-Retaining-Wall,grp25-pct-change-Misc-Stone-Riprap,grp25-pct-change-Painting-Structures,grp25-pct-change-Buildings-Misc-Structures,grp25-pct-change-Electrical,grp25-pct-change-Utility,GDP,TTLCONS,UNRATE,PPIACO,Construction_Employment,datetime,NHCCI_Seasonally_Adjusted_Diff
2003Q1,1.0,1.0018024268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4764178502989793,-0.9910012696169934,5.866666666666667,138.03333333333333,345.6,2003-01-01,
2003Q2,1.009624,1.0068489281,-0.603982655545448,-0.075302344178274,0.981712611999474,-0.31194106342937,0.314379503756414,0.022022741778642,0.188511613751472,0.14192018613765,0.305115369367844,-0.562572364804705,-0.070139460875307,0.914404380046768,-0.290553743688537,0.292824999620428,0.020512817393413,0.17558687053638,-0.045981201192882,0.259148717001821,0.132189846844325,0.018181621509841,0.106953507087156,0.01187997427327,-0.517194264388145,-0.064481885603549,0.84064687544461,-0.152249144205234,-0.107945494437318,-0.021500675066884,0.269205207621462,0.026762482495973,0.094741465888564,-0.070037292789839,0.168109646100492,-0.058603388662472,-0.037960813312381,0.003664045914898,0.090357848721314,0.238245314626085,0.01092171414656,0.028420721527444,0.030655737917193,-0.015880628535938,-0.026507351435641,-0.002942154412394,0.016154375926343,0.121527175655587,0.098326444525705,-1.4465781783091827,-0.9607398503916981,6.133333333333333,137.16666666666666,331.07619047619045,2003-04-01,0.005046501299999839
2003Q3,1.02399,1.0123370067,0.559155121233909,0.493043019950441,0.172481173005149,-0.380942031609063,0.17680098584574,-0.063404695640013,0.334629564458511,-0.084677991203317,0.215823289015957,0.541044260257099,0.477073509430003,0.166894561304756,-0.36860343734944,0.171074456741565,-0.061351037209174,0.323791016648846,0.276762559589359,0.152342437537861,-0.081935297331069,-0.009797659341131,-0.169163894349661,0.004776959145373,0.575181371259315,0.507174394966127,0.177424750021222,-0.270630536287363,0.062571831420331,-0.18594961814194,0.181868375368592,-0.054792612491084,-0.060947624717018,0.048722515938132,0.228818120841939,0.144664017227602,0.001319804103251,-0.065771117675542,0.02083405610629,0.161954462065249,0.005078360705768,0.038549933933393,-0.019196498602977,0.145121040779153,0.060669480961805,-0.004738319499856,-0.008075493539248,-0.087104993313515,-0.179837266342883,-1.3919291146593242,-0.8710805388717912,6.133333333333333,138.06666666666666,331.07619047619045,2003-07-01,0.0054880786000000015
2003Q4,1.021636,1.0453117643,-0.483975832033237,0.335125265969565,0.197195752023491,0.506487490406467,-0.235400214804282,-0.132036849588433,-0.423152232785814,-0.169050206119448,0.174845182867302,-0.474494844825846,0.3285602307427,0.193332727691634,0.496565504351611,-0.230788772800679,-0.129450274798087,-0.414862767230913,0.153342876196141,-0.00433427840496,-0.165738547249074,0.000501066857369,0.021219352656719,-0.003813917138094,-0.508047655166932,0.351793610964282,0.207003806387722,0.165021055009736,0.205681543072432,0.189814598781234,-0.247108469534236,-0.105285109138229,0.040910310459776,-0.067430639576814,-0.301700397127804,-0.10351127759035,0.010057114993255,0.007884071042935,-0.062195006768993,-0.004640766922699,-0.004083609507088,-0.005444424266407,0.034311509253014,0.119709925287606,0.002503811090981,-0.001529270653938,0.001062162578992,-0.177458367014356,0.022719830322738,-1.3476841283094851,-0.7832942994645354,5.833333333333333,139.23333333333335,331.07619047619045,2003-10-01,0.032974757600000126
2004Q1,1.045945,1.0526132211,-0.244710146971298,1.09502479892156,0.617358799830301,0.505430562051832,0.214115395327983,0.194466767456035,-0.186539906309374,-0.01575546265469,0.200079903483406,-0.23937315715982,1.07114292763333,0.603894553722643,0.494407407475255,0.20944565970575,0.19022555728866,-0.182471576493721,0.390337887090085,-0.179915960727977,-0.015411844931121,-0.005351793926455,0.023356865087038,0.019184186355429,-0.233731711744131,1.04589868412468,0.589662222277134,0.134487469326544,0.281187011811099,0.087443661594068,0.204509532975279,0.079842490022979,0.017586390464883,0.085676836816878,-0.137815704844155,0.037515607785135,-0.006403567153089,0.019280345790983,-0.082179171134665,-0.175675777447275,0.018732061563675,-0.023357766546495,0.147720342200451,0.277807618949561,0.009684204719494,0.001380278538876,-0.00753812413192,-0.015048625091886,0.022806400367795,-1.3151376485054418,-0.7490229618744231,5.7,142.20000000000002,352.7,2004-01-01,0.00730145680000005
2004Q2,1.100941,1.0976879675,2.42980246951392,-0.273674364949551,1.08531796970394,0.252584836667031,0.15045890726859,0.509009594800412,0.37533305317424,0.183917626697431,0.5452729635608,2.40881005874704,-0.271309940401524,1.07594130600738,0.250402616220413,0.149159009344146,0.504611978689378,0.372090342825048,0.286855181790169,0.277648958456846,0.182328660348077,0.013875431972581,0.023053421015565,-0.015443968641411,2.4166782115684,-0.272196148937659,1.07945576764493,0.056276872937942,0.15282997695438,0.026407124925122,0.149646223301194,0.353606815600414,0.186036089250525,-0.025565023940316,0.096172719302388,0.177424497427706,0.024113716746105,0.036711038671478,0.030766241761153,0.278555872814377,-0.0154944149051,0.130140826182194,0.127118140379843,-0.007494691901079,0.036110988648009,-0.001423624967473,0.016092894165461,0.182924219868316,0.023128722858256,-1.274378839490793,-0.6685369245234911,5.599999999999999,146.26666666666668,331.07619047619045,2004-04-01,0.045074746399999865
2004Q3,1.143055,1.1283111537,-0.217257555710569,1.06140493228971,1.56680353669203,0.256439303494052,0.120664769589566,0.292738627828455,0.460688602014414,-0.057573523766058,0.341380330283703,-0.215402515729324,1.0523421928376,1.55342548295548,0.254249712586601,0.119634481021284,0.290239097414733,0.45675504128441,0.023638775825246,0.39719769099604,-0.057081935835498,0.00392504962259,-0.028154951174328,-0.025479099112485,-0.218062920229225,1.06533951513477,1.57261161061511,0.066703302006084,0.15287253814082,0.035068532306402,0.121112068746916,0.203176601402497,0.030382142960325,0.043923551822988,0.232417403942137,0.086620309720378,0.006829510748429,0.028853197953052,0.090198789066176,0.402103420751604,-0.025793787689032,-0.02446950111294,0.005354704043124,0.012045549008438,0.021422557006445,0.001819877073201,0.001049684489066,-0.057786946357165,-0.02850268880677,-1.2329476332423885,-0.5703706672358224,5.433333333333334,147.70000000000002,331.07619047619045,2004-07-01,0.03062318619999993
2004Q4,1.149222,1.1624000256,-0.712031260901648,0.216831117906337,0.407935450808066,0.059665479744668,0.09149716861272,0.177962417417695,0.241013595379604,-0.004036269274099,0.060661589144038,-0.734374534921635,0.223635196964948,0.420736312073455,0.061537760098947,0.094368315407349,0.183546811250735,0.24857651150017,0.164822043126673,-0.138803809611369,-0.004162925887401,0.010310181967468,0.002070214913321,0.00723721155279,-0.755618954826219,0.230104647964593,0.432907620490979,-0.091548239720668,0.160809991542851,-0.003464401794723,0.097098257745568,0.095822193630821,0.065676577631045,0.030164406794334,0.026919443711988,0.137666233660733,0.02094385821873,0.040459660546953,0.025900061320577,-0.142819208169732,0.007446573881013,0.041474240148847,0.047738707767613,-0.00954187584965,0.072954861710222,-0.000102271074717,0.01066015342202,-0.004283353465861,0.002130103312755,-1.1851852603387636,-0.5296437562800272,5.433333333333334,150.53333333333333,331.07619047619045,2004-10-01,0.034088871900000095
2005Q1,1.240895,1.2510493234,6.96202015439363,0.509778115863918,-0.065268359603645,-0.215998531012683,0.225175348147348,0.0452616346891,-0.059327516976424,0.158904085839587,0.416409916822987,6.90894419400234,0.505891749197354,-0.064770776943068,-0.214351835220953,0.223458691550012,0.044916576111622,-0.058875225152158,0.428553290707855,-0.007027846150923,0.157692657726303,0.004746843546055,0.042286119826579,0.005490408851117,6.79547725047319,0.497583389928993,-0.063707033774919,-0.184321941601519,-0.094589918447186,0.170471102065824,0.219788785693047,0.158205240206785,-0.02067111203214,-0.044913973500168,0.074327555858596,-0.062062880172045,-0.010248294576986,0.031851261441425,-0.084651209595297,-0.006912426473234,0.005400238790413,0.05263225696391,0.054824486508483,0.203031848552456,0.085175360488876,0.00243709505526,0.001133279343638,0.155102840326421,0.041591646600369,-1.1335131256710016,-0.4299408078381127,5.3,152.06666666666666,356.3,2005-01-01,0.08864929779999997
2005Q2,1.281448,1.2769891468,-1.18792668985632,0.508445220852919,0.863291304172516,0.858049924471965,0.96972256264132,0.116621151208679,0.572996597152612,0.105347524765387,0.461477034270004,-1.19046008019667,0.509529538875872,0.865132372384074,0.859879814797439,0.971790607777993,0.116869859252465,0.574218578425478,0.264089960462347,0.162565808932045,0.105572190500999,-0.011082360089334,0.03103102127616,0.00888731749264,-1.20248982192586,0.514678395866241,0.873874638563293,0.588642292445754,0.428263112555186,-0.144511949849931,0.981610668188276,0.029174739752798,0.026273376490483,0.063366937327738,0.139764887811344,0.098565041835638,0.015180501574654,0.013982475265011,0.315196239807856,0.164208555889868,0.008977124899103,0.119985463149291,0.090042526242165,-0.084639748484543,0.10067327227953,-0.003931377891666,-0.006846325576956,0.106639010124821,0.031344593460032,-1.1000719098552036,-0.3421012621587599,5.1000000000000005,154.53333333333333,331.07619047619045,2005-04-01,0.025939823400000117
